Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Disease,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Swollen testicles,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Hunger,Blurred Vision,NIL,Seizures,Typhoid,Critical
Painful Urination,Hunger,Muscle Aches,Rose spots,NIL,Typhoid,Critical
Painful Urination,Hunger,Abdominal Pain,NIL,Disorientation,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rashes,NIL,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Headache,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Hunger,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Tired,Blurred Vision,NIL,NIL,Typhoid,Not Critical
Painful Urination,Tired,Headache,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Hunger,Swollen genitals,Bloody diarrhea,NIL,Diabetes,Critical
Frequent Urination,Hunger,Abdominal Pain,Swollen testicles,Disorientation,Diabetes,Critical
Frequent Urination,Urge to urinate,Headache,NIL,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Tired,Headache,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Hunger,Anal Itching and Pain,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Fever,Headache,NIL,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Tired,Muscle Aches,Rose spots,Confusion,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Hunger,Frequent Infection,NIL,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Swollen genitals,Bloody diarrhea,NIL,Gonorrhea,Critical
"Yellow,green discharge",Fever,Blurred Vision,NIL,Seizures,Typhoid,Critical
Painful Urination,Urge to urinate,Blurred Vision,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Hunger,Swollen genitals,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Fever,Headache,NIL,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Hunger,Headache,NIL,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Fever,Headache,NIL,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Fever,Abdominal Pain,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Hunger,Swollen genitals,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Tired,Anal Itching and Pain,Rashes,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Hunger,Swollen genitals,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Headache,NIL,Confusion,Gonorrhea,Critical
Painful Urination,Urge to urinate,Headache,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Tired,Frequent Infection,Rose spots,NIL,Typhoid,Critical
Difficulties in stooling,Fever,Blurred Vision,NIL,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Tired,Blurred Vision,Rashes,NIL,Typhoid,Critical
Frequent Urination,Tired,Muscle Aches,Swollen testicles,NIL,Diabetes,Critical
Painful Urination,Urge to urinate,Abdominal Pain,NIL,Confusion,Gonorrhea,Critical
Frequent Urination,Tired,Frequent Infection,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Hunger,Muscle Aches,NIL,Seizures,Typhoid,Critical
Painful Urination,Urge to urinate,Abdominal Pain,Rose spots,Cough and breathing difficulties,Gonorrhea,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Tired,Frequent Infection,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Hunger,Swollen genitals,Swollen testicles,NIL,Diabetes,Critical
Painful Urination,Urge to urinate,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Hunger,Blurred Vision,NIL,Disorientation,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,NIL,Slow heart rate and pulse,Gonorrhea,Critical
"Yellow,green discharge",Tired,Headache,NIL,Disorientation,Typhoid,Critical
Frequent Urination,Fever,Frequent Infection,NIL,Disorientation,Diabetes,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Tired,Headache,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Hunger,Anal Itching and Pain,NIL,Disorientation,Typhoid,Critical
Frequent Urination,Fever,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Tired,Anal Itching and Pain,NIL,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Hunger,Anal Itching and Pain,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,Disorientation,Gonorrhea,Critical
"Yellow,green discharge",Tired,Blurred Vision,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Tired,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Hunger,Abdominal Pain,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Tired,Muscle Aches,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Headache,Rashes,NIL,Gonorrhea,Critical
Frequent Urination,Tired,Abdominal Pain,NIL,Confusion,Diabetes,Critical
Difficulties in stooling,Fever,Blurred Vision,Rose spots,Confusion,Typhoid,Critical
Difficulties in stooling,Hunger,Muscle Aches,NIL,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Hunger,Abdominal Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Fever,Muscle Aches,Rose spots,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,NIL,Typhoid,Not Critical
Painful Urination,Tired,Swollen genitals,NIL,Seizures,Typhoid,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Bloody diarrhea,Confusion,Typhoid,Critical
Frequent Urination,Tired,Abdominal Pain,Swollen testicles,Confusion,Diabetes,Critical
"Yellow,green discharge",Fever,Blurred Vision,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Hunger,Anal Itching and Pain,NIL,Confusion,Diabetes,Critical
Painful Urination,Urge to urinate,Abdominal Pain,Rose spots,NIL,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Frequent Infection,Rashes,Confusion,Typhoid,Critical
Frequent Urination,Hunger,Swollen genitals,NIL,Disorientation,Diabetes,Critical
Painful Urination,Hunger,Headache,NIL,Confusion,Typhoid,Critical
"Yellow,green discharge",Tired,Swollen genitals,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Fever,Muscle Aches,NIL,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,NIL,Confusion,Typhoid,Critical
Painful Urination,Hunger,Headache,NIL,NIL,Diabetes,Not Critical
Painful Urination,Urge to urinate,Blurred Vision,Rashes,Disorientation,Gonorrhea,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,NIL,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Headache,Bloody diarrhea,NIL,Diabetes,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Rashes,NIL,Gonorrhea,Critical
Painful Urination,Fever,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Hunger,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Tired,Anal Itching and Pain,Rashes,NIL,Diabetes,Critical
Frequent Urination,Fever,Muscle Aches,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Fever,Abdominal Pain,Bloody diarrhea,Seizures,Diabetes,Critical
Difficulties in stooling,Fever,Headache,NIL,Confusion,Typhoid,Critical
Frequent Urination,Fever,Abdominal Pain,NIL,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Fever,Headache,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Tired,Swollen genitals,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Painful Urination,Fever,Swollen genitals,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Fever,Frequent Infection,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,Rose spots,Disorientation,Typhoid,Critical
"Yellow,green discharge",Tired,Frequent Infection,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Tired,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Hunger,Anal Itching and Pain,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Rose spots,Confusion,Gonorrhea,Critical
Difficulties in stooling,Tired,Headache,Bloody diarrhea,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Fever,Anal Itching and Pain,Bloody diarrhea,NIL,Diabetes,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,NIL,Confusion,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rose spots,NIL,Gonorrhea,Critical
Painful Urination,Tired,Abdominal Pain,Rashes,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Urge to urinate,Blurred Vision,NIL,Seizures,Diabetes,Critical
Difficulties in stooling,Hunger,Swollen genitals,Rashes,NIL,Typhoid,Critical
Painful Urination,Fever,Headache,Bloody diarrhea,NIL,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Headache,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Urge to urinate,Frequent Infection,NIL,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Hunger,Blurred Vision,Bloody diarrhea,Seizures,Typhoid,Critical
Frequent Urination,Fever,Frequent Infection,NIL,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Fever,Abdominal Pain,NIL,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Fever,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Bloody diarrhea,Confusion,Diabetes,Critical
"Yellow,green discharge",Hunger,Blurred Vision,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Urge to urinate,Blurred Vision,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Hunger,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Rose spots,Disorientation,Typhoid,Critical
Frequent Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Tired,Headache,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,Cough and breathing difficulties,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Tired,Headache,Swollen testicles,Confusion,Typhoid,Critical
"Yellow,green discharge",Fever,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Fever,Blurred Vision,Swollen testicles,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Fever,Blurred Vision,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Fever,Blurred Vision,NIL,Disorientation,Diabetes,Critical
Difficulties in stooling,Tired,Headache,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Hunger,Frequent Infection,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Frequent Urination,Tired,Anal Itching and Pain,Rose spots,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Hunger,Frequent Infection,Bloody diarrhea,NIL,Diabetes,Critical
Painful Urination,Hunger,Blurred Vision,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Headache,Swollen testicles,Disorientation,Typhoid,Critical
Frequent Urination,Fever,Frequent Infection,Rose spots,NIL,Diabetes,Critical
"Yellow,green discharge",Fever,Headache,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,NIL,Cough and breathing difficulties,Gonorrhea,Critical
Frequent Urination,Fever,Abdominal Pain,Rose spots,Severe pelvic pain,Diabetes,Critical
Painful Urination,Hunger,Headache,NIL,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Fever,Headache,Swollen testicles,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Abdominal Pain,Rashes,NIL,Typhoid,Critical
Frequent Urination,Hunger,Frequent Infection,Rose spots,NIL,Diabetes,Critical
Painful Urination,Hunger,Abdominal Pain,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Tired,Abdominal Pain,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Tired,Swollen genitals,NIL,Disorientation,Diabetes,Critical
Painful Urination,Fever,Headache,NIL,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Tired,Headache,NIL,Confusion,Typhoid,Critical
Frequent Urination,Fever,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Tired,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Hunger,Frequent Infection,Swollen testicles,NIL,Typhoid,Critical
"Yellow,green discharge",Fever,Swollen genitals,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Blurred Vision,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Gonorrhea,Critical
Difficulties in stooling,Hunger,Abdominal Pain,NIL,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Blurred Vision,NIL,NIL,Diabetes,Not Critical
Painful Urination,Urge to urinate,Muscle Aches,Rashes,Slow heart rate and pulse,Gonorrhea,Critical
Difficulties in stooling,Tired,Frequent Infection,NIL,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,NIL,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,Bloody diarrhea,NIL,Typhoid,Critical
Difficulties in stooling,Fever,Muscle Aches,Rashes,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Rashes,NIL,Diabetes,Critical
"Yellow,green discharge",Tired,Swollen genitals,NIL,Seizures,Typhoid,Critical
Painful Urination,Hunger,Anal Itching and Pain,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Urge to urinate,Headache,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Tired,Muscle Aches,NIL,Confusion,Typhoid,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Bloody diarrhea,Disorientation,Gonorrhea,Critical
Difficulties in stooling,Tired,Swollen genitals,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,Rose spots,NIL,Typhoid,Critical
"Yellow,green discharge",Tired,Abdominal Pain,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Painful Urination,Urge to urinate,Blurred Vision,Rashes,Confusion,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Fever,Frequent Infection,Bloody diarrhea,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Blurred Vision,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,NIL,NIL,Typhoid,Not Critical
Painful Urination,Urge to urinate,Muscle Aches,NIL,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Tired,Blurred Vision,Rose spots,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Urge to urinate,Muscle Aches,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Tired,Swollen genitals,Rose spots,NIL,Typhoid,Critical
Painful Urination,Tired,Abdominal Pain,Rose spots,Seizures,Typhoid,Critical
Painful Urination,Hunger,Anal Itching and Pain,Bloody diarrhea,NIL,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Rose spots,NIL,Gonorrhea,Critical
"Yellow,green discharge",Fever,Muscle Aches,NIL,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Hunger,Abdominal Pain,Swollen testicles,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,NIL,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,NIL,Slow heart rate and pulse,Gonorrhea,Critical
Difficulties in stooling,Tired,Headache,NIL,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Fever,Swollen genitals,Rose spots,Disorientation,Typhoid,Critical
"Yellow,green discharge",Tired,Blurred Vision,Rashes,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Muscle Aches,Rashes,NIL,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Rashes,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Swollen genitals,NIL,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Tired,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Swollen testicles,Confusion,Gonorrhea,Critical
Frequent Urination,Hunger,Frequent Infection,NIL,Confusion,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Headache,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Fever,Abdominal Pain,NIL,Seizures,Typhoid,Critical
Painful Urination,Urge to urinate,Headache,Bloody diarrhea,NIL,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,NIL,Cough and breathing difficulties,Gonorrhea,Critical
"Yellow,green discharge",Tired,Frequent Infection,Swollen testicles,Seizures,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Frequent Urination,Hunger,Muscle Aches,Bloody diarrhea,Seizures,Diabetes,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,NIL,Confusion,Typhoid,Critical
Painful Urination,Fever,Blurred Vision,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Fever,Headache,Bloody diarrhea,NIL,Typhoid,Critical
